type,productName,serviceName,pingMonitorId,healthMonitorId,apmEntityGuid,scriptMonitorId
product,T&F Online (TFO),tfo-website-ui,,,,
service,T&F Online (TFO),tfo-website-ui,,,,
product,Platform Core Services,platform-identity-website-ui,,,,
service,Platform Core Services,platform-auth-api,,,,
service,Platform Core Services,platform-identity-website-ui,,,,
product,T&F Submission Portal/Author Dashboard,pj-submission-website-ui,,,,
service,T&F Submission Portal/Author Dashboard,pj-submission-auth-client-api,,,,
service,T&F Submission Portal/Author Dashboard,pj-submission-website-ui,,,,
service,T&F Submission Portal/Author Dashboard,pj-submission-journal-config-api,,,,
service,T&F Submission Portal/Author Dashboard,pj-submission-renderer-api,,,,
service,T&F Submission Portal/Author Dashboard,pj-submission-metadata-ro-api,,,,
service,T&F Submission Portal/Author Dashboard,pj-submission-metadata-api,,,,
service,T&F Submission Portal/Author Dashboard,pj-submission-storage-api,,,,
service,T&F Submission Portal/Author Dashboard,pj-submission-notifications-api,,,,
service,T&F Submission Portal/Author Dashboard,pj-submission-author-dashboard-ui,,,,
service,T&F Submission Portal/Author Dashboard,pj-submission-events-notification-api,,,,
service,T&F Submission Portal/Author Dashboard,pj-submission-transfer-api,,,,
product,T&F Submission Dashboard (Internal),pj-submission-dashboard-ui,,,,
service,T&F Submission Dashboard (Internal),pj-submission-dashboard-ui,,,,
product,CATS,cats-website-ui,,,,
service,CATS,cats-website-ui,,,,
service,CATS,cats-ecopyrights-api,,,,
service,CATS,cats-search-indexing-api,,,,
service,CATS,cats-notifications-worker,,,,
service,CATS,cats-manuscript-worker,,,,
product,T&F Matching Engine,,,,,
service,T&F Matching Engine,dap-me-articlecategory-api,,,,
service,T&F Matching Engine,dap-me-licensemandate-api,,,,
product,Author Side Charges (ASC),pj-asc-website-ui,,,,
service,Author Side Charges (ASC),pj-asc-agree-author-ui,,,,
service,Author Side Charges (ASC),pj-asc-agree-admin-ui,,,,
service,Author Side Charges (ASC),pj-asc-ecs-api,,,,
service,Author Side Charges (ASC),pj-asc-website-ui,,,,
service,Author Side Charges (ASC),pj-asc-dashboard-api,,,,
service,Author Side Charges (ASC),customers-api,,,,
service,Author Side Charges (ASC),orders-api,,,,
product,Research Dashboard (RD),pj-rd-dashboard-ui,,,,
service,Research Dashboard (RD),pj-rd-dashboard-ui,,,,
service,Research Dashboard (RD),pcm-products-api,,,,
service,Research Dashboard (RD),pj-rd-articlesearch-api,,,,
product,T&F Mulesoft,,,,,
service,T&F Mulesoft,mule-sap-customer-integration-api,,,,
service,T&F Mulesoft,mule-sap-invoice-integration-api,,,,
service,T&F Mulesoft,mule-sap-order-integration-api,,,,
service,T&F Mulesoft,mule-sap-exchange-rate-integration-api,,,,
service,T&F Mulesoft,mule-sys-sap-informatf,,,,
